X,Y
-118.3121281,33.79036219
-117.9754134,33.96788719
-117.8476079,34.04301804
-117.9161538,34.0296594
-118.0678533,34.10116101
-118.1118453,34.58259069
-118.158839,34.19319075
-118.1212413,34.70641839
-118.081854,33.91355155
-118.039775,33.87576132
-117.9635031,33.95744341
-117.9904577,34.03582283
-118.4663199,34.41699432
-118.0945583,34.68009643
-118.1405102,33.85256359
-118.1634573,33.85309095
-118.0746842,33.863597
-118.0772424,33.85115684
-118.18402,33.9081366
-118.2817791,33.82928535
-118.1226154,34.69670398
-118.5367639,34.42756174
-118.1174088,33.89430061
-118.2989375,33.93888724
-118.2453703,33.92522612
-118.7866389,34.02406273
-118.2330175,33.91613889
-118.5116106,34.37765845
-118.1472485,34.71088525
-118.1574401,33.8852722
-118.2794864,33.81755988
-118.1892256,33.93465526
-118.2460655,33.91976909
-118.2301294,33.93039351
-118.0792673,34.70435957
-118.1557199,33.91111204
-118.061992,33.91733183
-118.0478693,33.91709521
-117.9586587,34.13980319
-117.9066524,34.50653328
-118.24102,33.90205259
-118.7618455,34.10379095
-118.1688129,33.90358807
-117.9806547,34.13294626
-118.167413,34.0029729
-118.1390544,34.60955906
-118.123146,33.83785819
-118.0632348,33.84008054
-118.181169,34.03459794
-118.0959056,33.95814665
-117.9497423,34.04006073
-118.1434202,34.64587685
-118.0676569,33.87192727
-118.0792403,34.55522341
-118.1870352,34.66782239
-118.0935418,34.06845829
-118.1865777,34.05652159
-118.1063168,34.56828648
-118.0772823,33.96911105
-118.1041432,34.56827922
-118.1109727,33.91973416
-118.0905685,33.8504029
-118.2943788,33.94118215
-118.247432,34.23324948
-117.9776207,34.13303719
-118.1637249,33.90992964
-118.2749102,33.86343524
-117.995146,33.89760079
-118.4724186,34.398649
-118.0956741,34.06983616
-118.5126658,34.41585767
-118.2824731,33.83032815
-118.0973265,33.90337953
-118.1979314,33.91195734
-118.3154221,33.77623425
-118.208532,33.90347947
-118.8061027,34.15539822
-118.3458341,33.90198387
-118.0855764,33.87307406
-117.9820334,34.05754075
-118.2794762,33.82445412
-118.0903837,34.58181349
-118.0859217,33.87307138
-118.1014927,33.92320997
-117.9869364,34.00261659
-117.7421092,34.12237434
-118.1610059,34.58787888
-117.8547373,34.04795179
-118.474466,34.42226966
-118.0288066,33.87219959
-118.2983803,33.94603484
-118.0918566,34.56180672
-118.0732751,33.96585034
-118.0917408,33.96501592
-117.8390333,34.59256414
-118.2171852,33.83913393
-117.9257134,33.97971482
-118.3236805,33.79294989
-118.0787503,33.87811798
-118.2418596,33.95965738
-118.0729338,34.07453286
-118.0486073,33.88301189
-118.3835389,34.08546383
-118.0501601,34.09716089
-117.9181622,34.10626884
-118.1954975,33.92152345
-118.149287,34.70576846
-118.1579796,33.85238316
-118.382771,34.08991234
-118.1772888,33.88648376
-118.168071,33.90373212
-118.3888474,34.07726631
-118.105383,34.56474641
-118.3228552,33.74593677
-117.8591426,34.03869956
-118.2484992,34.24256418
-118.5591585,34.4097823
-118.1964451,34.18121583
-118.1445519,34.7165767
-118.3440799,34.09065168
-118.0470439,34.56792653
-118.0413982,34.56971065
-118.2466396,33.8950936
-118.0007194,33.88846237
-118.2524013,33.89588346
-118.8061749,34.15556916
-118.1518101,33.91461585
-117.9493145,34.04257929
-117.9792868,34.03801991
-118.0383064,34.05180165
-118.130165,34.66901238
-118.1706331,33.88908722
-118.2087146,33.90860648
-117.9676032,34.04500436
-118.063884,33.88461119
-117.7290545,34.12766411
-118.0224751,33.8803261
-118.5115323,34.46110055
-118.0945583,34.68009643
-117.9748447,34.03447198
-118.0724901,33.98605486
-117.8353604,34.11176454
-118.0806606,34.1358949
-118.0380975,34.02529582
-118.005174,33.89880497
-118.2480381,33.84686348
-118.3533403,33.88263638
-118.1510972,33.85936488
-118.1305884,34.71137447
-118.1497714,33.90496462
-118.2467169,33.92523331
-118.0581329,34.08183108
-118.0926712,33.84937244
-118.1902359,34.03455407
-118.3553334,33.99572767
-118.158767,34.67091035
