X,Y
-117.8399201,34.62524006
-118.2170014,33.83033595
-118.0821021,34.04084841
-118.2311576,34.05913145
-118.0167427,33.93532514
-118.2817079,33.83162536
-118.3525941,33.93094495
-118.1187003,33.89724406
-118.2293451,33.93684795
-118.2495395,33.96016149
-118.109629,34.57956485
-118.0797698,33.88632286
-117.9231021,34.67532637
-118.1755015,34.05654073
-118.1123006,34.71888129
-118.0818692,33.83970432
-118.1002649,34.04478273
-118.0500229,33.95212035
-118.129137,33.88753309
-118.1647948,34.02136167
-118.1426637,33.8981493
-117.939328,34.04769737
-118.1570322,34.70440946
-118.0744023,34.5838369
-118.0785496,33.99757998
-118.2927475,33.95800537
-117.9769316,34.04829455
-117.9765391,34.04866761
-118.1796978,33.89174583
-118.040058,34.03945202
-118.2235407,33.91620853
-118.1240318,33.84303805
-118.0294125,33.94199571
-118.2158086,33.91330418
-118.2504739,33.92628956
-118.1418702,33.86416561
-118.2312778,34.05933062
-118.1219932,33.88935788
-118.1369513,34.6984334
-117.9334992,34.04469969
-118.0685767,33.99981874
-118.141344,34.54593243
-118.2302285,33.89677453
-118.1547692,34.58817515
-118.3752985,34.28375693
-118.0720074,33.83877335
-118.0657497,34.08117683
-118.2417891,33.8935908
-118.0792322,34.14625109
-117.9935316,33.93045321
-118.0719908,33.83627792
-118.3531504,34.08782503
-118.1077173,33.83228274
-118.2421187,34.22276211
-117.8587573,34.00978176
-118.1547692,34.58817515
-118.1480507,34.69715181
-117.9868793,34.05379793
-118.0863965,33.99506318
-118.1797996,33.89174499
-118.0695128,33.84229787
-118.3702027,34.09086739
-118.3747716,33.779485
-118.1539686,34.59276937
-118.144133,34.14944696
-118.2373363,34.05628055
-117.9943318,34.04812547
-118.5847328,34.43415579
-118.0765218,33.88980408
-118.0789656,33.97172485
-118.0752224,33.83870041
-118.0118607,33.92684424
-118.1303145,34.69906752
-118.2089521,33.89425474
-118.0966106,33.95175199
-118.6150195,34.45136042
-118.0779769,33.87898015
-118.0898783,34.00589912
-118.2558671,33.98622092
-117.7527392,34.05496874
-118.2502212,34.04779307
-118.2308143,33.89342432
-118.1921423,33.90844959
-118.0544889,34.03841321
-118.131622,34.66646959
-118.143347,34.67208646
-118.256389,33.96562463
-118.1935322,33.89687109
-118.2516894,34.04871627
-118.0967945,34.04959604
-118.0771383,33.91137512
-118.0708361,33.9613965
-118.0364194,33.90503359
-118.1612438,34.67494845
-118.2145115,33.9034213
